id,resourceName,type,hintline,direct,sort,input
1,1yueliang,1,xg1,,28,2
2,1yun3,1,xg1,,8,1
3,1yun2,1,xg1,,1,1
4,1yun1,1,xg1,,23,2
5,1di2,1,xg1,,26,1
6,1di1,1,xg1,,4,2
7,2liba,2,xg2,,29,2
8,2hua,2,xg2,,6,1
9,2men,2,xg2,,11,2
10,2xiaolu,2,xg2,,19,2
11,2chuanghu2,2,xg2,,18,2
12,2chuanghu1,2,xg2,,34,1
13,2muwu,2,xg2,,3,2
14,2shu4,2,xg2,,31,1
15,2shu3,2,xg2,,9,1
16,2shu2,2,xg2,,20,1
17,2shu1,2,xg2,,2,2
18,2shuye8,2,xg2,,25,2
19,2shuye7,2,xg2,,27,2
20,2shuye6,2,xg2,,24,2
21,2shuye5,2,xg2,,10,2
22,2shuye4,2,xg2,,32,2
23,2shuye3,2,xg2,,30,1
24,2shuye2,2,xg2,,15,2
25,3huaduo3,3,xg3,,5,2
26,3shitou3,3,xg3,,17,2
27,3yusan,3,xg3,,12,2
28,3xiaoyang,3,xg3,,13,1
29,3huaduo2,3,xg3,,14,1
30,3youxiang,3,xg3,,7,2
31,3xiaoheiniao,3,xg3,,22,2
32,3shitou2,3,xg3,,16,2
33,3huaduo,3,xg3,,21,1
34,3shitou,3,xg3,,33,1
35,ty2,,,2,,
36,ty3,,,3,,
