id,resourceName,type,hintline,direct,sort
1,1lou4ding,1,xg1,,4
2,1lou4,1,xg1,,31
3,1lou5ding,1,xg1,,23
4,1lou5,1,xg1,,26
5,1lou3,1,xg1,,29
6,1lou2,1,xg1,,1
7,1lou1,1,xg1,,5
8,1lu,1,xg1,,11
9,1taijie,1,xg1,,21
10,2lou5chuang3,2,xg2,,8
11,2lou5chuang2,2,xg2,,24
12,2lou5chuang,2,xg2,,20
13,2lou3gongchuang,2,xg2,,30
14,2lou3chuangshang,2,xg2,,12
15,2lou3chuangzhong,2,xg2,,27
16,2lou3chuangxia,2,xg2,,2
17,2lou2chuangshang,2,xg2,,6
18,2lou2chuang,2,xg2,,18
19,2lou2chuangxia,2,xg2,,17
20,2lou4chuang,2,xg2,,3
21,2lou4dachuang,2,xg2,,19
22,2lou1chuangshang,2,xg2,,10
23,2lou1chuangxia,2,xg2,,7
24,3yantong,3,xg3,,15
25,3luren,3,xg3,,22
26,3lou4men,3,xg3,,14
27,3lou3men,3,xg3,,9
28,3lou2xiaochuang,3,xg3,,13
29,3lou2men,3,xg3,,28
30,3ludeng,3,xg3,,25
31,3langan,3,xg3,,16
32,ty2,,,2,
33,ty3,,,3,
